2025-06-14 12:27:22.292 python[63901:313770] Metal API Validation Enabled
         165505 function calls (161963 primitive calls) in 0.196 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       74    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:697(_classify_pyc)
        1    0.000    0.000    0.000    0.000 quantized.py:1(<module>)
        4    0.000    0.000    0.000    0.000 typing.py:2054(__new__)
       25    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:71(add_newdoc_for_scalar_type)
        1    0.000    0.000    0.000    0.000 _nested_sequence.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _linalg.py:2394(lstsq)
      460    0.000    0.000    0.000    0.000 _inspect.py:13(ismethod)
    347/1    0.000    0.000    0.000    0.000 __config__.py:19(_cleanup)
      327    0.000    0.000    0.000    0.000 enum.py:47(_is_dunder)
     1218    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      185    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:674(_check_name_wrapper)
        1    0.000    0.000    0.000    0.000 numbers.py:1(<module>)
        2    0.000    0.000    0.000    0.000 exceptions.py:1(<module>)
        1    0.000    0.000    0.000    0.000 plistlib.py:185(parse)
     1747    0.000    0.000    0.000    0.000 typing.py:840(<genexpr>)
       41    0.000    0.000    0.000    0.000 {method '__typing_subst__' of 'typing.TypeVar' objects}
        5    0.000    0.000    0.000    0.000 typing.py:1733(__getitem_inner__)
      311    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
      757    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
        2    0.000    0.000    0.000    0.000 queues.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _nbit_base.py:1(<module>)
      460    0.000    0.000    0.000    0.000 _inspect.py:26(isfunction)
        1    0.000    0.000    0.000    0.000 {method 'ParseFile' of 'pyexpat.xmlparser' objects}
       52    0.000    0.000    0.000    0.000 typing.py:1131(_typevar_subst)
       30    0.000    0.000    0.000    0.000 _parser.py:97(closegroup)
       19    0.000    0.000    0.000    0.000 <frozen zipimport>:68(__init__)
      460    0.000    0.000    0.000    0.000 _inspect.py:41(iscode)
      566    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:67(_relax_case)
      267    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
      231    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:185(_path_isabs)
        1    0.000    0.000    0.000    0.000 _iotools.py:1(<module>)
       21    0.000    0.000    0.000    0.000 enum.py:1603(__and__)
        1    0.000    0.000    0.000    0.000 streams.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pooling.py:113(_Pool1d)
     1063    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
       36    0.000    0.000    0.000    0.000 enum.py:1055(_add_member_)
       24    0.000    0.000    0.000    0.000 inspect.py:872(getdoc)
      297    0.000    0.000    0.000    0.000 enum.py:58(_is_sunder)
      247    0.000    0.000    0.000    0.000 socket.py:79(<lambda>)
      248    0.000    0.000    0.000    0.000 socket.py:84(<lambda>)
      604    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
       38    0.000    0.000    0.000    0.000 getlimits.py:92(_float_to_float)
      652    0.000    0.000    0.000    0.000 typing.py:1802(_value_and_type_iter)
      250    0.000    0.000    0.000    0.000 socket.py:94(<lambda>)
       27    0.000    0.000    0.000    0.000 enum.py:942(_get_mixins_)
        2    0.000    0.000    0.000    0.000 typing.py:3142(__new__)
        1    0.000    0.000    0.000    0.000 _histograms_impl.py:1(<module>)
      105    0.000    0.000    0.000    0.000 {built-in method builtins.delattr}
      249    0.000    0.000    0.000    0.000 socket.py:89(<lambda>)
      230    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        5    0.000    0.000    0.000    0.000 typing.py:1748(__getitem__)
        1    0.000    0.000    0.000    0.000 function_base.py:1(<module>)
      600    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
      186    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
       24    0.000    0.000    0.000    0.000 inspect.py:811(_finddoc)
        1    0.000    0.000    0.000    0.000 pooling.py:161(_Pool3d)
        1    0.000    0.000    0.000    0.000 pooling.py:137(_Pool2d)
        1    0.000    0.000    0.000    0.000 records.py:1(<module>)
      328    0.000    0.000    0.000    0.000 typing.py:1807(__eq__)
        7    0.000    0.000    0.000    0.000 typing.py:1658(copy_with)
        2    0.000    0.000    0.000    0.000 mixins.py:1(<module>)
       36    0.000    0.000    0.000    0.000 inspect.py:2726(__init__)
       18    0.000    0.000    0.000    0.000 arrayprint.py:1685(_array_str_implementation)
        5    0.000    0.000    0.000    0.000 typing.py:1715(copy_with)
      454    0.000    0.000    0.000    0.000 _parser.py:255(match)
      219    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
        1    0.000    0.000    0.000    0.000 _exceptions.py:1(<module>)
        5    0.000    0.000    0.000    0.000 enum.py:1592(__or__)
      504    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        1    0.000    0.000    0.000    0.000 getlimits.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _stride_tricks_impl.py:1(<module>)
       24    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
        1    0.000    0.000    0.000    0.000 upsample.py:1(<module>)
       45    0.000    0.000    0.000    0.000 _parser.py:311(_class_escape)
        1    0.000    0.000    0.000    0.000 losses.py:1(<module>)
        1    0.000    0.000    0.000    0.000 transports.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _endian.py:1(<module>)
       62    0.000    0.000    0.000    0.000 enum.py:1152(__new__)
       64    0.000    0.000    0.000    0.000 _compiler.py:214(_compile_charset)
      229    0.000    0.000    0.000    0.000 _parser.py:175(append)
       17    0.000    0.000    0.000    0.000 _compiler.py:389(_mk_bitmap)
      274    0.000    0.000    0.000    0.000 _parser.py:163(__len__)
        1    0.000    0.000    0.000    0.000 _distributor_init.py:1(<module>)
      264    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      600    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:158(__init__)
        1    0.000    0.000    0.000    0.000 futures.py:1(<module>)
      269    0.000    0.000    0.000    0.000 functools.py:66(wraps)
        1    0.000    0.000    0.000    0.000 getlimits.py:493(__new__)
       27    0.000    0.000    0.000    0.000 enum.py:983(_find_data_type_)
      584    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
        1    0.000    0.000    0.000    0.000 _methods.py:1(<module>)
        4    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
        1    0.000    0.000    0.000    0.000 normalization.py:1(<module>)
